vaAddress,vaName
0x67a57535b11445506a9e340662cd0c9755e5b1b4,MultiSigWallet
0x71da31e0a3100f964f5bd3b498cafbf26e82e46c,MultiSigWallet
0x157619745fad54b257213a9203a96471e34bb875,MultiSigWallet
0xf61052b9e16d20e210364b555161cce140aba0e6,XWALLET
0x65989eF43806Fefd20223826AD0c4dCDD310aDCd,MultiSigWallet
0x26626ca1bd4d6a57e68917e235e216ea461c0093,DonationWallet
0x175E3fe868622c40A829EE9E4A963402b68C6dEB,MultiSigWalletWithDailyLimit
0x0cf1125c00b054044aa4f0fc8c4807ec98216fbb,(AnkorusWallet) MultiSigWalletWithDailyLimit
0x02624Cd186CACCF51Ed379Ef3967981C7D98186c,MultiSigWalletWithDailyLimit
0x9d70E84cf0598cCf36a64fD0C4e486fBC6a12F66,MultiSigWalletWithDailyLimit
0x520f1214aebf4507a02cf5c5ac7e236e772db95f,MultiSigWallet
0xa3ef350655ca518f6bafe3d335cbf019999c3e5d,MultiSigWallet
0xd37df7051977462c84d2a89cd78a0a91ff85d645,MultiSigWalletWithDailyLimit
0xd99a1e29dfb5a23a0e33e1475bb2390eb535620b,MultiSigWallet
0x04b01b16a26d6ab977b6df6EbC63bB842906AE11,MultiSigWallet
0x5a5528c23084704a82ea2ed14baba3c37e0b1077,MultiSigWallet
0xf6f31defbaddc5c558c70476560e9abe763fba47,TokenWallet
0x2bbd9bd455db31f3a9262013e346d1ab5259391d,MultiSigWallet
0x2ec79c67cb6ad4e3f8206fd8264620f3c476ebbd,MultiSigWalletWithDailyLimit
0x794d08a63ce6896acfddfe24fa285d6d584a1411,MultiSigWalletWithDailyLimit
0x5acbe8b82bec243f420214b35ed5b6cad2055f07,MultiSigWalletWithDailyLimit
0xd0c5f83feefd42e3a5e639d200c4ecd36749f41f,MultiSigWallet
0x3a6386e7701bf9c0d5b983d5e0bcec78331749d9,MultiSigWalletWithDailyLimit
0x1160ec99b6f5fb875b55e61644f715353839909c,FsTKColdWallet
0x57829d2213000f0723febc1a175e584462bbe01f,MultiSigWallet
0xe1377e465121776d8810007576034c7e0798cd46,MultiSigWallet
0xb4a3fb248d39370c1f8081b73fa7098167c8142b,LPCWalletReserveWrapper
0x5E13cF7CB1701F2051E92f9dea9A6C7B5999f5e0,SmartWallet
0x18a583e7a535ab8623f03ed2a853a7f9d8d4f1c4,MultiSigWallet
0x6909d7fce51fb70daabc1173c521f2600dd5fa35,TraxionWallet
0x042ae5dd4f08fcbf848c48487642b4195d160283,TraxionWallet
0x554bc53533876fc501b230274f47598cbd435b5e,MultiSigWallet
0x05a3cb0aca929d577d4ef186a7853e84e385257c,MultiSigWallet
0x0d341E13F9f9bd6e02FA97e249A0a27522b0EFB1,SmartWallet
0x2e48F0759E83d696CAA54a724CC226fE4Bc54444,MultiSigWallet
0xb7fd162235ea6e786c418b1ef27300bd424a3310,Wallet
0x04746b890d090ae3c4c5df0101cfd089a4faca6c,MultiSigWallet
0x99c885206fd5aec8576417a37283eb7f35633407,MultiSigWallet
0xd49e65db1aee6e8c06177799d30c235107facc24,MultiSigWallet
0x7a078d85ff5fb35e2595345c0a96a111f4c793f7,DonationWallet
0xaa0ae3459f9f3472d1237015cafc1aafc6f03c63,MultiSigWalletWithDailyLimit
0x8839ca791e499fb659c6cb4bdc59bb413ac7aab1,FreezeTokensWallet
0xe439d6db9d81b04d6e0c0604b8121e85f3cfa66b,MultiSigWalletWithDailyLimit
0x2f85e6449bcf407cf8a83f82bc006c97a5fc3ebb,MultiSigWallet
0xdb2f9f086561d378d8d701fedd5569b515f9e7f7,MultiSigWallet
0x892e09df99d67499333b4c2abaac22e395a41a0b,MultiSigWalletTokenLimit
0x8220afe52f461a80afdba527070fd8c75f39b602,MultiSigWalletWithDailyLimit
0x3d49be967b884b91078a7946a772be1c804e806c,MultiSigWallet
0x6dadb75e3ec4ff80897324e0cce991b5f699a0d2,MultiSigWallet
0xd8acacc58568169049ed2d357bee4e1f7ca74969,MultiSigWallet
0xfcd3cdce919d9e28289444938cf95d6ec78898d4,MultiSigWalletWithDailyLimit
0x8c8675898360d4115e32c0196e8e0a35d4c29840,MultiSigWallet
0xbc33a1f908612640f2849b56b67a4de4d179c151,MultiSigWalletWithDailyLimit
0xa41a8ce739a0ac33db3d60917b8c327bac506349,MultiSigWallet
